0x0000 Type: 0   Name: UNKNOWN                                      flags: 0x0002 TYPE_TCP_WCHAR_STR
0x0070 Type: 3   Name: BID_TYPE_VALUE_ID                            flags: 0x006A TYPE_TCP_UINT32
0x0071 Type: 10  Name: BIN_BLOB                                     flags: 0x006B TYPE_TCP_DYNAMIC_UINT32_SIZE
0x0072 Type: 0   Name: BLOCK_ACTORS_FLAG                            flags: 0x006C TYPE_TCP_WCHAR_STR
0x0073 Type: 0   Name: BLOCK_DUPLICATE_ALERT                        flags: 0x006D TYPE_TCP_WCHAR_STR
0x0074 Type: 0   Name: BLOCK_NON_ZERO_EXTENT_FLAG                   flags: 0x006F TYPE_TCP_WCHAR_STR
0x0075 Type: 0   Name: BLOCK_RIGID_BODY_FLAG                        flags: 0x05CC TYPE_TCP_WCHAR_STR
0x0076 Type: 0   Name: BLOCK_ZERO_EXTENT_FLAG                       flags: 0x0070 TYPE_TCP_WCHAR_STR
0x0077 Type: 3   Name: BLUEPRINT_ID                                 flags: 0x05D2 TYPE_TCP_UINT32
0x0078 Type: 3   Name: BLUEPRINT_INVENTORY_ID                       flags: 0x0071 TYPE_TCP_UINT32
0x0079 Type: 3   Name: BLUEPRINT_MOD_ID                             flags: 0x0072 TYPE_TCP_UINT32
0x007A Type: 3   Name: BODY_ASM_ID                                  flags: 0x0073 TYPE_TCP_UINT32
0x007B Type: 0   Name: BODY_ASSEMBLY                                flags: 0x0074 TYPE_TCP_WCHAR_STR
0x007C Type: 3   Name: BONE_NAME_RES_ID                             flags: 0x0075 TYPE_TCP_UINT32
0x007D Type: 1   Name: BONE_OFFSET_X                                flags: 0x0076 TYPE_TCP_FLOAT
0x007E Type: 1   Name: BONE_OFFSET_Y                                flags: 0x0077 TYPE_TCP_FLOAT
0x007F Type: 1   Name: BONE_OFFSET_Z                                flags: 0x0078 TYPE_TCP_FLOAT
0x0080 Type: 1   Name: BONUS_PERCENT                                flags: 0x0079 TYPE_TCP_FLOAT
0x0081 Type: 5   Name: BONUS_QUEUE_FLAG                             flags: 0x007A TYPE_TCP_UINT8
0x0082 Type: 3   Name: BONUS_VALUE_ID                               flags: 0x007B TYPE_TCP_UINT32
0x0083 Type: 5   Name: BOOL_VALUE                                   flags: 0x007C TYPE_TCP_UINT8
0x0084 Type: 1   Name: BOT_ADJUSTMENT_VALUE                         flags: 0x007D TYPE_TCP_FLOAT
0x0085 Type: 1   Name: BOT_BALANCE_MULTIPLIER                       flags: 0x007E TYPE_TCP_FLOAT
0x0086 Type: 3   Name: BOT_COUNT                                    flags: 0x007F TYPE_TCP_UINT32
0x0087 Type: 3   Name: BOT_ID                                       flags: 0x0080 TYPE_TCP_UINT32
0x0088 Type: 3   Name: BOT_KILL_COUNT                               flags: 0x0081 TYPE_TCP_UINT32
0x0089 Type: 3   Name: BOT_RANK_VALUE_ID                            flags: 0x0082 TYPE_TCP_UINT32
0x008A Type: 3   Name: BOT_SPAWN_TABLE_ID                           flags: 0x0083 TYPE_TCP_UINT32
0x008B Type: 3   Name: BOT_TYPE_VALUE_ID                            flags: 0x05C6 TYPE_TCP_UINT32
0x008C Type: 0   Name: BOUND_FLAG                                   flags: 0x05F9 TYPE_TCP_WCHAR_STR
0x008D Type: 5   Name: BRIEFING_MOVIES_ONLY_FLAG                    flags: 0x05F1 TYPE_TCP_UINT8
0x008E Type: 3   Name: BUFF_COUNT                                   flags: 0x0613 TYPE_TCP_UINT32
0x008F Type: 3   Name: BUFF_PTS                                     flags: 0x05A4 TYPE_TCP_UINT32
0x0090 Type: 3   Name: BUFF_VALUE                                   flags: 0x05A3 TYPE_TCP_UINT32
0x0091 Type: 3   Name: BUILDING_SUBTYPE_VALUE_ID                    flags: 0x0084 TYPE_TCP_UINT32
0x0092 Type: 3   Name: BUILDING_TYPE_VALUE_ID                       flags: 0x0085 TYPE_TCP_UINT32
0x0093 Type: 3   Name: BUILDUP_EFFECT_GROUP_ID                      flags: 0x0086 TYPE_TCP_UINT32
0x0094 Type: 3   Name: BUILDUP_FX_ID                                flags: 0x0087 TYPE_TCP_UINT32
0x0095 Type: 1   Name: BUILD_PERCENT                                flags: 0x0088 TYPE_TCP_FLOAT
0x0096 Type: 3   Name: BUYOUT_PRICE                                 flags: 0x0089 TYPE_TCP_UINT32
0x0097 Type: 5   Name: BYTE_VALUE                                   flags: 0x008A TYPE_TCP_UINT8
0x0098 Type: 3   Name: CALC_METHOD_VALUE_ID                         flags: 0x008B TYPE_TCP_UINT32
0x0099 Type: 3   Name: CALC_TYPE_VALUE_ID                           flags: 0x008C TYPE_TCP_UINT32
0x009A Type: 3   Name: CALLBACK_FUNC_PTR                            flags: 0x008D TYPE_TCP_UINT32
0x009B Type: 3   Name: CALLER_ID                                    flags: 0x008E TYPE_TCP_UINT32
0x009C Type: 3   Name: CAMERA_TYPE_VALUE_ID                         flags: 0x008F TYPE_TCP_UINT32
0x009D Type: 3   Name: CAMPAIGN_CLOSED_FLAGS                        flags: 0x0090 TYPE_TCP_UINT32
0x009E Type: 5   Name: CANDC_SIDE                                   flags: 0x0095 TYPE_TCP_UINT8
0x009F Type: 0   Name: CAN_BUILD_AT_FLAG                            flags: 0x0091 TYPE_TCP_WCHAR_STR
0x00A0 Type: 0   Name: CAN_CLIMB_LADDERS_FLAG                       flags: 0x0092 TYPE_TCP_WCHAR_STR
0x00A1 Type: 0   Name: CAN_JUMP_FLAG                                flags: 0x0093 TYPE_TCP_WCHAR_STR
0x00A2 Type: 0   Name: CAN_LAUNCH_FLAG                              flags: 0x0094 TYPE_TCP_WCHAR_STR
0x00A3 Type: 5   Name: CAN_TIE_FLAG                                 flags: 0x060E TYPE_TCP_UINT8
0x00A4 Type: 3   Name: CAPTURE_MAP_GAME_ID                          flags: 0x05E3 TYPE_TCP_UINT32
0x00A5 Type: 3   Name: CAPTURE_MAP_SEL_LIST_ID                      flags: 0x0096 TYPE_TCP_UINT32
0x00A6 Type: 3   Name: CAPTURE_TIME_SEC                             flags: 0x0097 TYPE_TCP_UINT32
0x00A7 Type: 1   Name: CARGO_FOOTPRINT                              flags: 0x0098 TYPE_TCP_FLOAT
0x00A8 Type: 1   Name: CARGO_SPACE                                  flags: 0x0099 TYPE_TCP_FLOAT
0x00A9 Type: 0   Name: CAST_DYNAMIC_SHADOW_FLAG                     flags: 0x009A TYPE_TCP_WCHAR_STR
0x00AA Type: 0   Name: CAST_SHADOW_FLAG                             flags: 0x009B TYPE_TCP_WCHAR_STR
0x00AB Type: 3   Name: CATEGORY_VALUE_ID                            flags: 0x009C TYPE_TCP_UINT32
0x00AC Type: 3   Name: CHAIN_FUNCTION                               flags: 0x009D TYPE_TCP_UINT32
0x00AD Type: 3   Name: CHALLENGE_ID                                 flags: 0x009F TYPE_TCP_UINT32
0x00AE Type: 2   Name: CHANGE_AMT                                   flags: 0x00A0 TYPE_TCP_DOUBLE_OR_INT_SIGNED
0x00AF Type: 7   Name: CHANGE_DATETIME                              flags: 0x00A1 TYPE_TCP_DATETIME
0x00B0 Type: 3   Name: CHANGE_TYPE                                  flags: 0x00A2 TYPE_TCP_UINT32
0x00B1 Type: 3   Name: CHANGE_TYPE_VALUE_ID                         flags: 0x00A3 TYPE_TCP_UINT32
0x00B2 Type: 3   Name: CHANNEL_ID                                   flags: 0x009E TYPE_TCP_UINT32
0x00B3 Type: 3   Name: CHANNEL_TYPE                                 flags: 0x05B1 TYPE_TCP_UINT32
0x00B4 Type: 0   Name: CHANNEL_URI                                  flags: 0x00A4 TYPE_TCP_WCHAR_STR
0x00B5 Type: 3   Name: CHARACTER_ID                                 flags: 0x00A5 TYPE_TCP_UINT32
0x00B6 Type: 3   Name: CHARACTER_LEVEL                              flags: 0x00A6 TYPE_TCP_UINT32
0x00B7 Type: 0   Name: CHARACTER_NAME                               flags: 0x00A7 TYPE_TCP_WCHAR_STR
0x00B8 Type: 3   Name: CHARACTER_PROFILE_ID                         flags: 0x00A8 TYPE_TCP_UINT32
0x00B9 Type: 3   Name: CHASE_RANGE                                  flags: 0x00A9 TYPE_TCP_UINT32
0x00BA Type: 1   Name: CHASE_TIME_SEC                               flags: 0x00AA TYPE_TCP_FLOAT
0x00BB Type: 0   Name: CHATMGR_PIPE_NAME                            flags: 0x056B TYPE_TCP_WCHAR_STR
0x00BC Type: 5   Name: CHAT_ANNOUNCEMENT_FLAG                       flags: 0x00AB TYPE_TCP_UINT8
0x00BD Type: 3   Name: CHAT_CH_ID                                   flags: 0x00AC TYPE_TCP_UINT32
0x00BE Type: 3   Name: CHAT_CH_TYPE                                 flags: 0x05CE TYPE_TCP_UINT32
0x00BF Type: 8   Name: CHAT_NET_ADDR                                flags: 0x00AD TYPE_TCP_UINT64
0x00C0 Type: 3   Name: CHEAT_CODE                                   flags: 0x00AE TYPE_TCP_UINT32
0x00C1 Type: 7   Name: CLAIMED_DATETIME                             flags: 0x00AF TYPE_TCP_DATETIME
0x00C2 Type: 0   Name: CLASS_MSG_ID                                 flags: 0x00B0 TYPE_TCP_WCHAR_STR
0x00C3 Type: 0   Name: CLASS_NAME                                   flags: 0x00B1 TYPE_TCP_WCHAR_STR
0x00C4 Type: 3   Name: CLASS_RES_ID                                 flags: 0x00B2 TYPE_TCP_UINT32
0x00C5 Type: 3   Name: CLASS_TYPE_VALUE_ID                          flags: 0x00B3 TYPE_TCP_UINT32
0x00C6 Type: 5   Name: CLEAR_SKILLS_FLAG                            flags: 0x00B4 TYPE_TCP_UINT8
0x00C7 Type: 3   Name: CLIENT_HANDLE_ID                             flags: 0x00B5 TYPE_TCP_UINT32
0x00C8 Type: 3   Name: CLIENT_IP                                    flags: 0x00B6 TYPE_TCP_UINT32
0x00C9 Type: 3   Name: CLOSED_FLAGS                                 flags: 0x00B7 TYPE_TCP_UINT32
0x00CA Type: 0   Name: CLOSE_FLAG                                   flags: 0x00B8 TYPE_TCP_WCHAR_STR
0x00CB Type: 0   Name: CLOSE_ON_EMPTY_FLAG                          flags: 0x00B9 TYPE_TCP_WCHAR_STR
0x00CC Type: 3   Name: COALITION                                    flags: 0x00BA TYPE_TCP_UINT32
0x00CD Type: 0   Name: COLLIDE_ACTORS_FLAG                          flags: 0x00BC TYPE_TCP_WCHAR_STR
0x00CE Type: 1   Name: COLLISION_DEPTH                              flags: 0x00BD TYPE_TCP_FLOAT
0x00CF Type: 1   Name: COLLISION_HEIGHT                             flags: 0x00BE TYPE_TCP_FLOAT
0x00D0 Type: 1   Name: COLLISION_RADIUS                             flags: 0x00BF TYPE_TCP_FLOAT
0x00D1 Type: 1   Name: COLLISION_TRANSLATION_X                      flags: 0x00BB TYPE_TCP_FLOAT
0x00D2 Type: 1   Name: COLLISION_TRANSLATION_Y                      flags: 0x00C0 TYPE_TCP_FLOAT
0x00D3 Type: 1   Name: COLLISION_TRANSLATION_Z                      flags: 0x00C1 TYPE_TCP_FLOAT
0x00D4 Type: 3   Name: COLOR_VALUE                                  flags: 0x00C2 TYPE_TCP_UINT32
0x00D5 Type: 0   Name: COLUMN_NAME                                  flags: 0x00C3 TYPE_TCP_WCHAR_STR
0x00D6 Type: 3   Name: COMPARISON_TYPE_VALUE_ID                     flags: 0x00C4 TYPE_TCP_UINT32
0x00D7 Type: 1   Name: COMPARISON_VALUE                             flags: 0x00C5 TYPE_TCP_FLOAT
0x00D8 Type: 7   Name: COMPLETED_DATETIME                           flags: 0x05C5 TYPE_TCP_DATETIME
0x00D9 Type: 3   Name: COMPLETED_MSG_ID                             flags: 0x00C6 TYPE_TCP_UINT32
0x00DA Type: 5   Name: COMPLETE_FLAG                                flags: 0x00C7 TYPE_TCP_UINT8
0x00DB Type: 3   Name: CONNECTION_HANDLE                            flags: 0x00C8 TYPE_TCP_UINT32
0x00DC Type: 0   Name: CONSIDER_FOR_RBCOLLISION_FLAG                flags: 0x00CA TYPE_TCP_WCHAR_STR
0x00DD Type: 0   Name: CONTAGION_FLAG                               flags: 0x00CB TYPE_TCP_WCHAR_STR
0x00DE Type: 3   Name: CONTAINER_SKILL_GROUP_ID                     flags: 0x057C TYPE_TCP_UINT32
0x00DF Type: 0   Name: CONTINUOUS_FIRE_FLAG                         flags: 0x00C9 TYPE_TCP_WCHAR_STR
0x00E0 Type: 3   Name: CONTROLLER_CLASS_RES_ID                      flags: 0x00CC TYPE_TCP_UINT32
0x00E1 Type: 3   Name: COOLDOWN_EFFECT_GROUP_ID                     flags: 0x00CD TYPE_TCP_UINT32
0x00E2 Type: 3   Name: COOLDOWN_FX_ID                               flags: 0x00CE TYPE_TCP_UINT32
0x00E3 Type: 1   Name: COST                                         flags: 0x00CF TYPE_TCP_FLOAT
0x00E4 Type: 3   Name: COUNT                                        flags: 0x00D0 TYPE_TCP_UINT32
0x00E5 Type: 3   Name: COUNTER_ID                                   flags: 0x00D1 TYPE_TCP_UINT32
0x00E6 Type: 3   Name: CPU_LOAD                                     flags: 0x00D2 TYPE_TCP_UINT32
0x00E7 Type: 3   Name: CRAFTED_QUALITY_VALUE_ID                     flags: 0x00D3 TYPE_TCP_UINT32
0x00E8 Type: 3   Name: CREATED_BY_CHARACTER_ID                      flags: 0x00D4 TYPE_TCP_UINT32
0x00E9 Type: 7   Name: CREATED_DATETIME                             flags: 0x00D5 TYPE_TCP_DATETIME
0x00EA Type: 3   Name: CREATED_ITEM_ID                              flags: 0x00D6 TYPE_TCP_UINT32
0x00EB Type: 0   Name: CREATED_TEXT                                 flags: 0x00D7 TYPE_TCP_WCHAR_STR
0x00EC Type: 1   Name: CREW_CONTROL_RADIUS                          flags: 0x00DA TYPE_TCP_FLOAT
0x00ED Type: 1   Name: CROUCH_HEIGHT                                flags: 0x00D8 TYPE_TCP_FLOAT
0x00EE Type: 1   Name: CROUCH_SPEED_PCT                             flags: 0x00D9 TYPE_TCP_FLOAT
0x00EF Type: 1   Name: CULL_DISTANCE                                flags: 0x0605 TYPE_TCP_FLOAT
0x00F0 Type: 3   Name: CURRENCY_CHANGE                              flags: 0x00DB TYPE_TCP_UINT32
0x00F1 Type: 3   Name: CURRENCY_CHANGE_TYPE                         flags: 0x00DC TYPE_TCP_UINT32
0x00F2 Type: 2   Name: CURRENCY_GAINED                              flags: 0x00DD TYPE_TCP_DOUBLE_OR_INT_SIGNED
0x00F3 Type: 1   Name: CURRENCY_REWARD_VALUE                        flags: 0x0611 TYPE_TCP_FLOAT
0x00F4 Type: 2   Name: CURRENCY_VALUE                               flags: 0x0610 TYPE_TCP_DOUBLE_OR_INT_SIGNED
0x00F5 Type: 3   Name: CURRENT_AGENCY_ID                            flags: 0x00DE TYPE_TCP_UINT32
0x00F6 Type: 3   Name: CURRENT_CHARACTER_PROFILE_ID                 flags: 0x00DF TYPE_TCP_UINT32
0x00F7 Type: 3   Name: CURRENT_MATCH_QUEUE_ID                       flags: 0x00E0 TYPE_TCP_UINT32
0x00F8 Type: 1   Name: CURRENT_VALUE                                flags: 0x00E1 TYPE_TCP_FLOAT
0x00F9 Type: 3   Name: CURRENT_WIP                                  flags: 0x00E2 TYPE_TCP_UINT32
0x00FA Type: 0   Name: CUSTOM_PARAM_STRING                          flags: 0x00E3 TYPE_TCP_WCHAR_STR
0x00FB Type: 3   Name: DAILY_VALUE                                  flags: 0x00E4 TYPE_TCP_UINT32
0x00FC Type: 1   Name: DAMAGE_BOT                                   flags: 0x00E5 TYPE_TCP_FLOAT
0x00FD Type: 3   Name: DAMAGE_BOT_COUNT                             flags: 0x05E1 TYPE_TCP_UINT32
0x00FE Type: 3   Name: DAMAGE_CLASS_RES_ID                          flags: 0x00E6 TYPE_TCP_UINT32
0x00FF Type: 1   Name: DAMAGE_PER_MIN_AVG                           flags: 0x05A5 TYPE_TCP_FLOAT
0x0100 Type: 1   Name: DAMAGE_PLAYER                                flags: 0x05A6 TYPE_TCP_FLOAT
